0;0;0;0;land;false;unknown;0;
1;233;227;191;land;false;plains;2;
2;66;250;193;land;false;plains;5;v
3;243;89;171;land;false;plains;2;
4;207;248;248;land;false;plains;4;v
5;174;229;236;land;true;plains;1;
6;228;109;206;land;false;plains;3;x
7;116;173;237;land;false;plains;5;v
8;223;222;104;land;false;plains;3;x
9;216;138;172;land;false;plains;2;
10;51;250;238;land;true;plains;1;
11;142;213;234;land;false;plains;4;v
12;174;249;196;land;false;plains;2;
13;157;167;193;land;true;plains;1;
14;215;92;212;land;false;plains;1;
15;187;171;184;land;false;plains;5;v
16;190;205;109;land;false;plains;1;
17;201;240;199;land;true;plains;3;x
18;199;162;206;land;false;plains;2;
19;248;194;195;land;true;plains;4;v
20;233;220;113;land;false;plains;1;
21;171;241;182;land;false;plains;1;
22;206;102;195;land;true;plains;5;v
23;130;250;148;land;false;plains;1;
24;197;208;214;land;false;plains;1;
25;251;248;199;land;false;plains;2;
26;179;115;207;land;false;plains;2;
27;151;205;238;land;true;plains;3;x
28;189;89;252;land;false;plains;2;
29;225;184;100;land;false;plains;2;
30;238;155;157;land;false;plains;1;
31;246;201;248;land;false;plains;4;v
32;239;248;176;land;false;plains;1;
33;235;142;189;land;false;plains;5;v
34;245;168;200;land;false;plains;1;
35;218;128;205;land;false;plains;3;x
36;244;193;176;land;false;plains;2;
37;188;248;227;land;false;plains;1;
38;175;212;239;land;false;plains;2;
39;184;135;216;land;false;plains;2;
40;84;247;199;land;false;plains;2;
41;184;199;247;land;false;plains;2;
42;190;155;202;land;false;plains;4;v
43;145;172;229;land;false;plains;4;v
44;180;170;253;land;false;plains;2;
45;249;203;201;land;false;plains;4;v
46;53;248;231;land;true;plains;5;v
47;154;191;216;land;false;plains;2;
48;222;211;80;land;false;plains;1;
49;184;223;142;land;true;plains;5;v
50;241;238;75;land;false;plains;5;v
51;158;192;253;land;false;plains;1;
52;220;171;113;land;false;plains;2;
53;252;90;220;land;false;plains;3;v
54;229;220;113;land;false;plains;2;
55;253;84;185;land;false;plains;2;
56;253;225;250;land;false;plains;2;
57;228;249;65;land;false;plains;2;
58;235;212;105;land;false;plains;2;
59;199;214;196;land;false;plains;3;x
60;240;191;244;land;true;plains;4;v
61;108;211;227;land;true;plains;3;x
62;170;198;147;land;true;plains;1;
63;124;205;200;land;false;plains;1;
64;146;110;252;land;true;plains;4;v
65;231;199;219;land;false;plains;2;
66;207;209;143;land;false;plains;5;v
67;229;250;242;land;true;plains;2;
68;228;176;242;land;false;plains;1;
69;139;213;191;land;false;plains;2;
70;249;180;123;land;false;plains;2;
71;62;227;250;land;true;plains;1;
72;226;227;126;land;false;plains;2;
73;187;157;214;land;false;plains;2;
74;162;234;130;land;false;plains;1;
75;214;211;224;land;false;plains;3;v
76;163;240;169;land;true;plains;3;v
77;224;50;233;land;false;plains;2;
78;249;126;186;land;false;plains;5;v
79;186;145;178;land;false;plains;5;v
80;245;248;201;land;false;plains;2;
81;202;225;131;land;false;plains;4;v
82;234;73;211;land;true;plains;1;
83;182;215;231;land;false;plains;4;v
84;233;61;243;land;false;plains;1;
85;153;250;147;land;true;plains;5;v
86;232;235;186;land;false;plains;2;
87;231;253;238;land;true;plains;2;
88;226;198;210;land;false;plains;1;
89;203;205;109;land;false;plains;2;
90;250;80;173;land;false;plains;2;
91;254;254;182;land;false;plains;4;v
92;105;247;191;land;true;plains;2;
93;202;221;175;land;false;plains;3;x
94;253;27;232;land;false;plains;2;
95;216;109;243;land;true;plains;3;x
96;189;164;190;land;true;plains;1;
97;171;238;102;land;false;plains;1;
98;141;182;232;land;false;plains;4;v
99;242;140;216;land;true;plains;5;v
100;253;209;96;land;false;plains;4;v
101;215;226;124;land;false;plains;1;
102;108;226;232;land;false;plains;2;
103;96;218;243;land;false;plains;3;x
104;174;132;234;land;false;plains;1;
105;129;243;239;land;false;plains;4;v
106;233;234;40;land;false;plains;1;
107;248;229;212;land;false;plains;2;
108;175;254;254;land;false;plains;5;v
109;236;89;185;land;true;plains;4;v
110;247;132;235;land;false;plains;1;
111;220;177;196;land;false;plains;4;v
112;212;232;105;land;false;plains;5;v
113;189;254;191;land;true;plains;3;x
114;202;204;97;land;false;plains;1;
115;198;220;95;land;false;plains;1;
116;181;144;197;land;false;plains;2;
117;177;159;182;land;false;plains;4;v
118;107;189;231;land;true;plains;3;x
