1;arms_factory;2131.00;10.30;987.00;5.45;0
1;arms_factory;2113.00;9.90;990.00;3.29;0
1;arms_factory;2170.00;9.80;970.00;5.95;0
1;arms_factory;2116.00;10.40;1000.00;2.33;0
1;arms_factory;2129.00;10.10;982.00;3.89;0
1;arms_factory;2171.00;9.80;995.00;1.73;0
1;industrial_complex;2123.00;9.90;975.00;4.40;0
1;industrial_complex;2126.00;9.80;973.00;0.78;0
1;industrial_complex;2151.00;10.03;996.00;2.34;0
1;industrial_complex;2140.00;9.90;975.00;0.18;0
1;industrial_complex;2134.00;9.80;974.00;2.84;0
1;industrial_complex;2132.00;10.38;991.00;5.50;0
1;air_base;2142.00;10.00;980.00;2.24;0
1;naval_base;2116.00;9.50;975.00;-0.14;7271
1;naval_base;2176.00;9.70;993.00;-3.93;6346
1;naval_base;2165.00;9.53;960.00;0.14;6743
1;naval_base;2176.00;9.50;969.00;1.11;6743
1;naval_base;2110.00;9.50;987.00;-0.98;7267
1;naval_base;2132.00;9.50;972.00;0.38;7271
1;naval_base;2154.00;9.57;964.00;0.27;6743
1;bunker;2119.00;10.20;992.00;3.96;0
1;bunker;2139.00;10.32;989.00;1.80;0
1;bunker;2130.00;9.90;979.00;4.46;0
1;bunker;2165.00;9.80;969.00;6.03;0
1;bunker;2173.00;9.80;977.00;2.41;0
1;bunker;2171.00;9.80;994.00;0.25;0
1;bunker;2150.00;9.75;966.00;1.45;0
1;bunker;2122.00;9.85;973.00;4.47;0
1;bunker;2155.00;9.90;986.00;0.85;0
1;coastal_bunker;2178.00;9.78;975.00;1.11;0
1;coastal_bunker;2167.00;9.50;965.00;0.14;0
1;coastal_bunker;2127.00;9.75;972.00;-0.14;0
1;coastal_bunker;2177.00;9.80;990.00;-3.93;0
1;coastal_bunker;2138.00;9.50;969.00;0.38;0
1;coastal_bunker;2150.00;9.50;965.00;-0.11;0
1;coastal_bunker;2110.00;9.57;988.00;-0.98;0
1;dockyard;2112.00;9.50;984.00;-1.93;0
1;anti_air_building;2127.00;10.15;982.00;0.41;0
1;anti_air_building;2160.00;10.00;982.00;1.97;0
1;anti_air_building;2121.00;9.90;975.00;4.63;0
1;synthetic_refinery;2124.00;9.82;973.00;2.47;0
1;fuel_silo;2134.00;10.50;997.00;5.14;0
1;radar_station;2143.00;10.00;982.00;2.58;0
1;rocket_site;2173.00;9.90;981.00;4.54;0
1;nuclear_reactor;2130.00;10.38;991.00;0.92;0
2;arms_factory;2174.00;10.10;928.00;5.95;0
2;arms_factory;2173.00;9.75;917.00;2.33;0
2;arms_factory;2173.00;10.07;925.00;3.89;0
2;arms_factory;2164.00;9.80;924.00;1.73;0
2;arms_factory;2177.00;10.03;930.00;4.40;0
2;arms_factory;2167.00;9.80;921.00;0.78;0
2;industrial_complex;2178.00;10.15;928.00;2.34;0
2;industrial_complex;2185.00;9.82;916.00;0.18;0
2;industrial_complex;2172.00;10.03;926.00;2.84;0
2;industrial_complex;2169.00;9.80;923.00;5.50;0
2;industrial_complex;2171.00;9.85;931.00;2.24;0
2;industrial_complex;2163.00;9.73;921.00;3.45;0
2;air_base;2174.00;10.10;928.00;1.29;0
